IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
141.147.70.152,4,4,0.00,114.03,0.00
143.47.234.245,4,4,0.00,114.50,0.00
158.180.228.226,4,4,0.00,115.00,0.00
141.147.26.52,4,4,0.00,116.87,0.00
193.123.60.124,4,4,0.00,117.21,0.00
152.70.53.148,4,4,0.00,122.91,0.00
141.148.231.254,4,4,0.00,123.21,0.00
158.101.204.221,4,4,0.00,123.38,0.00
129.151.204.91,4,4,0.00,123.73,0.00
141.148.236.113,4,4,0.00,123.81,0.00
144.22.252.124,4,4,0.00,131.52,0.00
8.209.217.106,4,4,0.00,143.15,0.00
138.2.127.69,4,4,0.00,165.06,0.00
138.2.123.70,4,4,0.00,165.47,0.00
144.24.77.190,4,4,0.00,165.73,0.00
158.180.88.81,4,4,0.00,166.02,0.00
144.24.76.59,4,4,0.00,166.03,0.00
152.69.234.116,4,4,0.00,166.41,0.00
138.2.122.191,4,4,0.00,166.44,0.00
129.154.59.99,4,4,0.00,166.49,0.00
129.154.50.159,4,4,0.00,166.69,0.00
150.230.249.48,4,4,0.00,166.75,0.00
158.180.65.69,4,4,0.00,166.75,0.00
152.67.203.34,4,4,0.00,166.77,0.00
144.24.78.162,4,4,0.00,166.81,0.00
138.2.119.103,4,4,0.00,166.84,0.00
144.24.73.232,4,4,0.00,166.84,0.00
158.180.94.131,4,4,0.00,167.12,0.00
144.24.83.39,4,4,0.00,167.23,0.00
158.180.65.145,4,4,0.00,167.25,0.00
150.230.220.74,4,4,0.00,167.27,0.00
158.180.81.106,4,4,0.00,167.28,0.00
131.186.45.49,4,4,0.00,167.32,0.00
131.186.39.0,4,4,0.00,167.56,0.00
158.180.89.203,4,4,0.00,167.72,0.00
8.213.137.24,4,4,0.00,167.79,0.00
138.2.122.67,4,4,0.00,167.88,0.00
155.248.179.69,4,4,0.00,167.95,0.00
129.154.56.137,4,4,0.00,168.05,0.00
146.56.101.141,4,4,0.00,168.05,0.00
129.154.62.204,4,4,0.00,168.82,0.00
138.2.14.14,4,4,0.00,171.10,0.00
150.230.200.25,4,4,0.00,171.73,0.00
150.230.205.254,4,4,0.00,171.97,0.00
141.147.183.175,4,4,0.00,173.12,0.00
141.147.175.166,4,4,0.00,174.04,0.00
192.9.177.204,4,4,0.00,187.75,0.00
140.238.201.118,4,4,0.00,188.09,0.00
64.110.78.55,4,4,0.00,189.37,0.00
193.123.237.143,4,4,0.00,190.17,0.00
193.122.97.248,4,4,0.00,190.52,0.00
129.154.192.56,4,4,0.00,190.62,0.00
146.56.178.149,4,4,0.00,190.82,0.00
130.162.144.191,4,4,0.00,190.93,0.00
146.56.47.194,4,4,0.00,190.97,0.00
132.145.81.117,4,4,0.00,191.05,0.00
146.56.162.25,4,4,0.00,191.24,0.00
146.56.158.191,4,4,0.00,191.32,0.00
146.56.44.131,4,4,0.00,191.38,0.00
132.226.229.104,4,4,0.00,191.68,0.00
193.122.101.195,4,4,0.00,191.70,0.00
193.123.235.59,4,4,0.00,192.14,0.00
132.145.94.80,4,4,0.00,192.27,0.00
146.56.152.51,4,4,0.00,192.34,0.00
193.122.106.171,4,4,0.00,192.35,0.00
152.70.90.168,4,4,0.00,192.43,0.00
152.70.91.109,4,4,0.00,192.57,0.00
129.154.204.189,4,4,0.00,192.72,0.00
140.238.23.148,4,4,0.00,192.73,0.00
193.123.250.194,4,4,0.00,192.87,0.00
146.56.176.143,4,4,0.00,192.93,0.00
129.154.207.203,4,4,0.00,193.29,0.00
193.122.104.145,4,4,0.00,193.32,0.00
64.110.79.188,4,4,0.00,193.72,0.00
138.2.56.246,4,4,0.00,193.86,0.00
150.230.63.93,4,4,0.00,193.93,0.00
64.110.74.198,4,4,0.00,194.04,0.00
132.226.21.133,4,4,0.00,194.46,0.00
168.138.46.67,4,4,0.00,195.60,0.00
141.147.147.180,4,4,0.00,195.61,0.00
193.122.117.159,4,4,0.00,196.84,0.00
168.138.13.201,4,4,0.00,197.95,0.00
150.230.7.216,4,4,0.00,198.20,0.00
138.2.61.180,4,4,0.00,198.46,0.00
64.110.101.125,4,4,0.00,199.29,0.00
193.123.81.105,4,4,0.00,204.43,0.00
129.154.222.193,4,4,0.00,204.82,0.00
193.123.69.77,4,4,0.00,205.14,0.00
132.226.173.183,4,4,0.00,205.33,0.00
158.178.233.106,4,4,0.00,207.77,0.00
158.178.238.239,4,4,0.00,207.88,0.00
129.150.51.134,4,4,0.00,208.34,0.00
138.2.66.92,4,4,0.00,208.73,0.00
152.69.219.32,4,4,0.00,208.93,0.00
129.150.50.63,4,4,0.00,208.96,0.00
129.151.148.35,4,4,0.00,209.06,0.00
132.226.7.217,4,4,0.00,209.54,0.00
158.178.245.161,4,4,0.00,210.00,0.00
168.138.177.109,4,4,0.00,210.16,0.00
152.69.211.253,4,4,0.00,210.39,0.00
138.2.104.102,4,4,0.00,210.52,0.00
138.2.75.91,4,4,0.00,210.53,0.00
141.147.163.68,4,4,0.00,211.50,0.00
140.238.60.225,4,4,0.00,211.52,0.00
138.3.210.24,4,4,0.00,211.52,0.00
168.138.194.74,4,4,0.00,211.53,0.00
150.230.221.148,4,4,0.00,212.02,0.00
158.101.141.78,4,4,0.00,212.37,0.00
138.2.98.201,4,4,0.00,212.47,0.00
168.138.212.80,4,4,0.00,212.63,0.00
158.101.142.100,4,4,0.00,212.83,0.00
150.230.196.248,4,4,0.00,212.92,0.00
140.238.33.161,4,4,0.00,212.94,0.00
141.147.184.160,4,4,0.00,213.22,0.00
8.217.237.192,4,4,0.00,213.30,0.00
168.138.185.234,4,4,0.00,213.61,0.00
131.186.33.175,4,4,0.00,213.94,0.00
158.101.148.105,4,4,0.00,213.95,0.00
141.148.203.6,4,4,0.00,215.97,0.00
144.24.82.253,4,4,0.00,217.96,0.00
152.69.232.44,4,4,0.00,218.04,0.00
152.69.225.239,4,4,0.00,218.46,0.00
146.56.105.165,4,4,0.00,218.49,0.00
146.56.109.251,4,4,0.00,218.61,0.00
144.24.83.58,4,4,0.00,218.97,0.00
158.180.73.47,4,4,0.00,219.09,0.00
129.154.61.121,4,4,0.00,219.12,0.00
152.67.218.7,4,4,0.00,219.12,0.00
152.67.204.201,4,4,0.00,219.19,0.00
129.154.58.9,4,4,0.00,219.34,0.00
138.2.123.118,4,4,0.00,219.36,0.00
129.154.56.251,4,4,0.00,219.37,0.00
158.180.70.60,4,4,0.00,219.53,0.00
138.2.124.29,4,4,0.00,219.59,0.00
144.24.90.97,4,4,0.00,219.67,0.00
158.180.82.124,4,4,0.00,219.77,0.00
